2019-05-14 01:47:04.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:47:07.299  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:47:07.300  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:47:07.824  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:47:14.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:47:16.816  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:47:16.816  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:47:16.966  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:47:19.767  INFO 10249 --- [RMI TCP Connection(2)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-05-14 01:47:19.771  INFO 10249 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-05-14 01:47:19.773  INFO 10249 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-14 01:47:19.778  INFO 10249 --- [RMI TCP Connection(2)-127.0.0.1] org.mongodb.driver.connection            : Closed connection [connectionId{localValue:2, serverValue:64}] to localhost:27017 because the pool has been closed.
2019-05-14 10:34:23.564  INFO 11397 --- [main] c.k.middleware.MiddleWareApplication     : Starting MiddleWareApplication on adjetter-debian with PID 11397 (/root/eclipse-workspace/MiddleWareServer/target/classes started by root in /root/eclipse-workspace/MiddleWareServer)
2019-05-14 10:34:23.570  INFO 11397 --- [main] c.k.middleware.MiddleWareApplication     : No active profile set, falling back to default profiles: default
2019-05-14 10:34:24.107  INFO 11397 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2019-05-14 10:34:24.184  INFO 11397 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 73ms. Found 5 repository interfaces.
2019-05-14 10:34:24.764  INFO 11397 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-05-14 10:34:24.782  INFO 11397 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-05-14 10:34:24.782  INFO 11397 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-05-14 10:34:24.787  INFO 11397 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-05-14 10:34:24.835  INFO 11397 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-05-14 10:34:24.835  INFO 11397 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1212 ms
2019-05-14 10:34:25.097  INFO 11397 --- [main] org.mongodb.driver.cluster               : Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-05-14 10:34:25.097  INFO 11397 --- [main] org.mongodb.driver.cluster               : Adding discovered server localhost:27017 to client view of cluster
2019-05-14 10:34:25.170  INFO 11397 --- [cluster-ClusterId{value='5cda4c59ff122f2c8561b7c4', description='null'}-localhost:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:1, serverValue:67}] to localhost:27017
2019-05-14 10:34:25.171  INFO 11397 --- [cluster-ClusterId{value='5cda4c59ff122f2c8561b7c4', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 18]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=671898}
2019-05-14 10:34:25.172  INFO 11397 --- [cluster-ClusterId{value='5cda4c59ff122f2c8561b7c4', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Discovered cluster type of STANDALONE
2019-05-14 10:34:25.800  INFO 11397 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-05-14 10:34:25.942  INFO 11397 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2019-05-14 10:34:25.999  INFO 11397 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2019-05-14 10:34:26.052  INFO 11397 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2019-05-14 10:34:26.055  INFO 11397 --- [main] c.k.middleware.MiddleWareApplication     : Started MiddleWareApplication in 2.961 seconds (JVM running for 3.413)
2019-05-14 10:34:26.087  INFO 11397 --- [scheduling-1] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:2, serverValue:68}] to localhost:27017
